open_time,Readble_Date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,
1.56E+12,11/06/2019,7981,8010,7692.23,7884.9,30334.99943,1.56E+12,238031771.5,309059,15793.77245,124001190.8,0
1.56E+12,12/06/2019,7884.9,8200,7788.99,8127.64,41597.08262,1.56E+12,333291726.6,361980,22826.90103,182925127.5,0
1.56E+12,13/06/2019,8127.64,8309.82,8010.03,8218.54,30467.76434,1.56E+12,248418184.8,341246,16100.16135,131293315.8,0
1.56E+12,14/06/2019,8216.44,8684.41,8144.32,8650,39835.24626,1.56E+12,333475488.6,410072,20970.62383,175588531.5,0
1.56E+12,15/06/2019,8650.88,8864.99,8567.63,8808.7,31791.63604,1.56E+12,276420769.3,335840,16798.3793,146051605.2,0
1.56E+12,16/06/2019,8810.77,9333,8760,8953.33,63289.25122,1.56E+12,574211343,552319,33804.18205,306793742.1,0
1.56E+12,17/06/2019,8953,9444,8950,9313.96,47895.48537,1.56E+12,441567296.1,462160,24826.97685,228962151.2,0
1.56E+12,18/06/2019,9312.13,9336.36,8950,9081.55,51554.5694,1.56E+12,470271954.3,449730,28057.04734,255972426.1,0
1.56E+12,19/06/2019,9081.97,9304,8960,9255.49,32147.7065,1.56E+12,293748062.7,306202,17533.23302,160303572,0
1.56E+12,20/06/2019,9253.76,9590,9175.2,9517.12,34556.05398,1.56E+12,323621848.2,350662,18032.19071,168891671.5,0
1.56E+12,21/06/2019,9518.06,10174.99,9518.06,10159.86,50484.41589,1.56E+12,494783688,474344,28305.73275,277616242.8,0
1.56E+12,22/06/2019,10159.86,11160,9921.72,10729.5,104169.448,1.56E+12,1112069568,923334,55336.62359,590676435.8,0
1.56E+12,23/06/2019,10729,11392.64,10555.18,10906.07,57445.32395,1.56E+12,625330374.7,557935,30129.80103,327919162.6,0
1.56E+12,24/06/2019,10905.95,11143.63,10620.8,11056.59,43101.04529,1.56E+12,469746663.9,440335,22674.41385,247193774.4,0
1.56E+12,25/06/2019,11056.59,11850,11026,11820.86,61276.68665,1.56E+12,697773986.3,597798,32838.33557,373915513.3,0
1.56E+12,26/06/2019,11821.28,13970,11741,13093.8,155930.1474,1.56E+12,1996178375,1355074,76046.06421,973444882.2,0
1.56E+12,27/06/2019,13098.38,13478.04,10525.1,11329.99,173894.8209,1.56E+12,2058443849,1357233,80442.11992,951733425.6,0
1.56E+12,28/06/2019,11329.99,12480,10982.88,12400.63,95795.20396,1.56E+12,1129888341,883116,48847.10788,576552254.9,0
1.56E+12,29/06/2019,12407.06,12441.54,11475.02,11903.13,69642.07416,1.56E+12,829011822.2,732073,36061.45937,429403585.7,0
1.56E+12,30/06/2019,11903.13,12180,10766.03,10854.1,84512.53044,1.56E+12,971151050.9,711267,42697.44,492370966.3,0
1.56E+12,01/07/2019,10854.1,11282.28,10030,10624.93,90962.26827,1.56E+12,972343281.9,757458,44210.98837,473020897.4,0
1.56E+12,02/07/2019,10624.9,10938.75,9727,10842.85,109561.0387,1.56E+12,1128353805,870148,54998.50361,566863180.6,0
1.56E+12,03/07/2019,10844.98,11991.89,10841.04,11940,96815.90029,1.56E+12,1097804643,814754,49613.61674,561585673.9,0
1.56E+12,04/07/2019,11940,12000,11055,11145.67,66512.22189,1.56E+12,775818897.4,643867,33626.85186,392411806.4,0
1.56E+12,05/07/2019,11145.67,11406.83,10796.44,10970.73,63534.35058,1.56E+12,705853649,564857,32306.91426,359142814,0
1.56E+12,06/07/2019,10982.41,11665,10964.51,11256.49,51469.49633,1.56E+12,585001376.2,470692,25601.98948,291096287.9,0
1.56E+12,07/07/2019,11256.45,11538,11094.37,11406.24,38884.7956,1.56E+12,439439052.9,366769,22449.30112,253820654.3,0
1.56E+12,08/07/2019,11410,12338.03,11220,12238.6,52182.36722,1.56E+12,618530684.4,507860,27740.09749,328709707.9,0
